sucre	糖
lait	牛奶，奶
frigo	冰箱
Les légumes sont bons	蔬菜很好吃
Ces plats sont bons	这些菜很好吃，菜n.m.
Je cuisine un plat	我做一道菜
Tu cuisines un plat français	你做一道法国菜吗？
Paul prépare le dîner	保罗做晚餐
repas	饮食；餐；进餐n.m.
prendre	拿，取，抓,吃，喝，vt.
Il veut une pomme	他想要一个苹果n.f.
Il mange un œuf	他吃了一个鸡蛋
parfois	有时候
samedi	周六
dimanche	周日
Portraits	肖像
trouvez l'objet	找到物品
Il y a	有,存在ph.
des fleurs	一些花
Il y a trois arbres	有三棵树
une fenêtre	一扇窗户
Elle ouvrent les fenêtres	她们打开窗户
Mon chien est blanc	我的狗是白色的
Alice est très gentille	爱丽丝非常和善
une voiture blanche	一辆白色的汽车
Il y a un salon dans ma maison	我的房子里有一个客厅
une vache	一头奶牛
Alice est ma voisine	爱丽丝是我的邻居
la table et les chaises	桌子和椅子
une pièce	一个房间
