original	独到的,新颖的 adj.=original
tenir	拿着v.t.=hold
aérienne	(adj.)航空的=英语 aerial
aéronautique	(adj.)航天的=英语 aeronautical
affaire	(n.f.)事务;事件;买卖;pl.(个人的)衣物;生意=英语 business
afficher	(v.t.)张贴,公布=英语 to post
affirmer	(v.t.)证实,显示,表明,肯定,断定=英语 to assert
afin de	(loc.prép.)为了,以便=英语 in order to
aggraver	(v.t.)加重;使严重;加剧=英语 to worsen
agneau	(n.m.)羊羔,小绵羊=英语 lamb
agriculture	(n.f.)农业=英语 agriculture
aigre	(adj.)酸的,发酸的=英语 sour
aigu	(adj.)尖声的;敏锐的;尖锐的;急性的=英语 acute
aiguille	(n.f.)针=英语 needle
aile	(n.f.)翅膀;翼=英语 wing
laisser	放开,使得v.t.=let
