arrondissement	区(英语=district)
La mairie	市政厅(city hall)
Le drapeau des homosexuelles	“同性恋者的旗帜(同性恋者)”
dépenser	花费(spend)
les doigts dans le nez	“轻而易举”,手指在鼻子里
parti communiste	共产党
Le réseau	网络(network)
des appareils	电器(英语:appliances)
bâtiment	建筑(英语:building)
occidentaux	西方人(英语:Westerners)
Il faut qch à qn	某人需要某物
famille élargie	“大家庭”(英语=extended family)
objets familiaux	家族传承的物品(英语=family heirlooms)
hérités	继承的(英语=inherited)
racontait	“讲述”(英语=told)(未完成过去时)
la guerre à Paris	“巴黎的战争”(英语=the war in Paris)
idéale	“理想的”(英语=ideal)
en paix	“和平的”(英语=peaceful)
regarder une série	“一起看电视剧”
chacun	“每个人”(英语=each)
tante	“阿姨”
réserver	预定,预约v.t.(英语:reserve)
souriante	面带微笑的adj.阴性(英语:smiling)
Vous voulez travailler avec des clients français et étrangers	您想与法国和外国客户一起工作
56, promenade des Anglais	英国人大道56号
