donner	给、提供、教授(to give)
montrer	展示(to show)
mettre	放置、使用、穿上(to put)
ressentir	“感受到”(to feel)
sentir	“闻到”(to smell)
j'ai découvert	我发现(I found out)
a fermé	关门了(has closed)
j'espère que	我希望 (I hope that)
était meilleure	比我好 (was better than me)
la mienne	我的 (mine)
mentir	“撒谎(to lie)”
un courriel	一封电子邮件(an email)
à très bientôt	“很快再见”(See you very soon)
j'ai assisté à	我参加了(I attended)
Mes parents sont venus	我的父母来(My parents came)
Je pense que je vais réussir	“我想我会成功的。”
passer un examen	参加考试(take an exam)
la pâtisserie	糕点店(bakery)
en bas de	向下,在下面(downstairs)
être athée	无神论者
croire en	相信(to believe in)
Dieu	上帝(God)
sensuelle	“性感的”(sensual)
Ma note au contrôle de chinois	我的中文考试成绩(My Chinese exam score)
j'ai encore	“我又得了”(I got again)
pendant l'été	“在暑假期间”(during the summer)
devoir passer	“必须参加”(have to take)
examen de rattrapage	“补考”(make-up exam)
Quel est ta date de naissance	“你的出生日期是什么?”(What is your date of birth?)
depuis très longtemps	“很久以来”(for a long time)
loisirs	休闲活动(n.m.pl.)
Est-ce votre activité de loisirs préférée, Pourquoi	“这是您最喜欢的休闲活动吗?为什么?”
passé	“过去时”
t'a appris	“教你(过去式)”(动词 apprendre(教)的复合过去时)
ainsi de suite	等等(and so on)
Avoir besoin de	“需要”(need)
un ophtalmologiste	眼科医生(eye doctor)
une ordonnance	处方,方药(prescription)
drôle	“有趣的”(funny)
Cochon	猪(pig)
à la maternelle	幼儿园(kindergarten)
un moyen de	一种...的方法
le tramway	“有轨电车”
un ingrédient	“一种食材”
citer	引用
Ma recette préférée	“我最喜欢的食谱”
quelle occasion	什么场合(what occasion)
contexte	背景(context)
L'événement de l'année	“年度事件”(the event of the year)
apprécier	欣赏(appreciate)
assez	足够地adv.
falloir	原形(必须,需要)
kilo	千克n.m.
livre	磅n.f.半公斤
to teach ou apprendre ou enseigner	“教 / 学习 / 教授”
Cela faisait 53 ans que nous nous n'avions pas vu	“我们已经有53年没见面了。”
randonner	“远足”
Le Bois de Boulogne	“布洛涅森林”
suivi	参加(动词“suivre”的过去分词)、跟踪、监督; 跟随
Le dimanche matin, je fais d'abord un footing	星期天上午,我先去慢跑
Je suis prête	“我准备好了”
même	“甚至”,在句子中起到加强语气的作用
devenir amie	“成为朋友”
devenues	动词 “devenir(成为,变得)” 的过去分词,与前面的 “êtes” 构成复合过去时。
bavarder	“聊天”
un long monologue	“一个长的独白”
Le paysage	这里的风景(阳性名词)
Nous avons admiré le paysage pendant des heures	我们欣赏了这个风景好几个小时。
montagneux	“山的;多山的”,修饰 “paysage”,说明是山区的风景。
aucun	“没有一个”,代指前面提到的 “课程(cours)” 等事物。=英语中的 “none”
boîte	盒子n.f.夜总会
campagne	乡村n.f.
faire de la course	奔跑
faire du jogging	慢跑
D'abord, je me lève, ensuite je me lave, après je prends le petit-déjeuner, enfin je sors de la maison	首先,我起床,然后我洗澡,之后我吃早饭,最后我出门。
Après, je me lave et je m'habille	然后我洗澡和穿衣服。
Je me lave tous les matins	我每天早上洗澡。
