une langue étrangère	一门外语
le point faible	弱点，缺点
le point fort	强项，优点
privée	私人的，私有的adj.阴性
réserver	预定，预约v.t.(英语：reserve)
souriant	面带微笑的adj.
Tu sais	你知道
il sort un album	“他发行了一张专辑。”
ils sortent un disque	“他们发行了一张唱片。”
La censure	“审查制度”
arrêter	停止(英语:stop)
la centrale nucléaire	“核电站”
dynamique	有活力的adj.
entretien	面试，会面n.m.
une sieste	午后小睡
siesta	“小睡(西班牙语)”
manger dehors	“在外面吃饭”
on a mangé occidental	“我们吃了‘西餐’”
une entrée	“一道开胃菜”
le portugais	“葡萄牙语”
être PACSÉ -comme le mariage, mais le divorce est plus facile	“民事结合(类似于婚姻,但离婚更简单)”
