vol	航班，班机
de rien	没关系，这没什么，没事
beurre	黄油
miel	蜂蜜
céréales	谷物食品
portrait-robot	模拟画像（警方综合搜捕对象的特征所制的）n.m.
nageons	游泳，泳
Tu sors de chez Paul	你从保罗家出来吗？;你从Paul家出去吗？
Tu dois sortir	你应该出去
Une horloge	一个时钟
le coin	角落，街角n.m
écrivain	“作家；作者n.m.
sculptrice	女雕塑家
Trop de lait	太多牛奶
Il y a un peu de sucre dans le placard	橱柜里有一点糖
Vous devez rentrer très tôt	你们应该非常早回。
horloge	时钟;“时钟”“钟表”
Tu sors	你出去吗？
tard	晚，晚点;晚，迟
Je voudrais un verre de lait	我想要一杯牛奶。
Tu sors de chez Paul	你从保罗家出来吗？;你从Paul家出去吗？
roulent	行驶（动词“rouler”的第三人称复数形式）
savoir	知道，会
Tu peux marcher	你能走路吗？
Tu dois aller à droite	你应该去右边
parisiennes	意为“巴黎的”，是阴性复数形式
Je dois marcher	我应该走路。
la voisine	女邻居
Ce sont les étudiants de la première année	这些是一年级的学生
les Pays-Bas	荷兰(英语中常用“Netherlands”或“Holland”来表示荷兰);“荷兰”
