les	这些(le,la,l'的复数）
Camille	人名（很獨立，工作能力很強，有企圖心）
mes frères aiment le chocolat	我的兄弟们喜欢巧克力
tes parents sont ici	你的父母在这里
ce sont tes filles	这是你的女儿们吗？
c'est son bébé	这是他的宝宝
ses parents sont amusants	她的父母很有趣
la femme est contente	这个女人很高兴
les femmes sont contentes	那些女人很高兴（如果谈论的是复数名词，形容词词尾也要加上-s）
jus	果汁
voudrais	(jeveux我想要:是直陈式，相当于“Iwant”）“jevoudrais”类似于“Iwouldlike”（更加委婉）
serveur	服务员
moi	给我；我
toilettes	卫生间
personne	人；任何人；没有人
amusantes	有趣的
amusants	有趣的
intelligentes	聪明的；有智慧
intelligente	聪明的
contents	高兴的
francaises	法国人；法国的
anglaises	英国人；英国的
mexicaines	墨西哥的；墨西哥人
mexicains	墨西哥的；墨西哥人
américaines	美国人；美国的
amusant	有趣的
amusante	有趣的；有意思；有意思的
les filles sont en espagne	这些女孩在西班牙
boutique	商店
j'étudie à bordeaux	我在波尔多学习
étudiante	女大学生
l'avion	这个/那个飞机（阳性）
l'orange	那个橙子（阴性）
le chien d'anna	"Anna的狗"（注意，de在元音前要变成d')
la musique	音乐
lire un livre	阅读一本书
je prends	（我乘坐/拿）
tu prends	（你乘坐/拿）
il prend	（他乘坐/拿）
elle prend	（她乘坐/拿）
nous prenons	（我们乘坐/拿）
vous prenez	（您/你们乘坐/拿）
ils prennent	（他们乘坐/拿）
elles prennent	（她们乘坐/拿）。
tu vas au restaurant	你去饭馆
elle va au zoo	她去动物园
je mange	我吃;（我吃）
tu manges	你吃（s不发音）;（你吃）
elle mange	她吃;（她吃）
nous mangeons	（我们吃）
vous mangez	（您/你们吃）
ils mangent	（他们吃）
elles mangent	（她们吃）。
des chiens	这些狗
les étudiants étudient	那些大学生学习
ils travaillent en france	他们在法国工作
tu es	你是
il est	他是
nous sommes	（我们是）
vous êtes	（您/你们是）
ils sont	（他们是）
elles sont	（她们是）。
boulangerie	面包房;面包店
j'aime la musique	我喜欢音乐
nous voulons lire un livre	我们想要阅读一本书
je vais à l'école en voiture	我乘汽车去学校
nous allons à la boulangerie	我们去面包店
je prends le bus	我乘坐公共汽车
je vais au parc	我去公园（当à和le一起出现，要合并成au）
elle est amusante	她很有趣
nous sommes chinois	我们是中国人
les garcons sont étudiants	那些男孩是大学生
j'ai une voiture	我有一辆汽车
paul habite avec son père	"Paul和他父亲一起住"
sœur	姐妹
père	父亲
mère	母亲
mari	丈夫
femme	妻子
son père	他的，她的父亲（加阳性名词）
sa sœur	他的，她的姐妹（加阳性名词）
ma famille habite en france	我一家人住在法国
famille	“家庭；家属；家族”的意思，阴性名词;一家人
ma mère et sa sœur	我母亲和她的姐妹
université	大学
la famille	一家人
ma femme est journaliste	我妻子是记者
le fils de paul	"Paul的儿子"
je veux	（我想要）
tu veux	（你想要）
il veut	（他想要）
elle veut	（她想要）
on veut	（它想要）
nous voulons	（我们想要）
vous voulez	（您/你们想要）
ils veulent	（他们想要）
elles veulent	（她们想要）
billet	票,入场券,门票，（车、船）票
s'il vous plait	请给我；请问。
billet d'avion	机票
Où est le taxi	出租车在哪里？
tu prends la voiture	你乘坐汽车吗？
le restaurant espagnol	那家西班牙饭馆
c'est une gare francaise	这是一座法国火车站
chanson	歌曲
tu vas à l'aéroport	你去这个机场
marie va à l'aéroport en voiture	"Marie乘汽车去那个机场"
il va à la gare	他去那座火车站
je vais à paris en train	我乘火车去巴黎
Je prends la voiture	我乘坐汽车
je vais à paris en voiture	我乘汽车去巴黎
tu prends le taxi	你乘坐出租车吗？
où est le restaurant	这家饭馆在哪里？
tu as un billet d'avion	你有机票吗？
Duo a un passeport	朵儿有一本护照。
elle a un billet d'avion	她有一张机票
une gare	一座火车站（相当于英语中的“railwaystation”“trainstation”或“busstation”。）
C'est l'aéroport	这是机场
je vais à paris	我去巴黎
compagne	同伴；伴侣；伙伴
espagnol	西班牙的；西班牙语；西班牙人
l'aéroport	这个/那个机场
aéro	“大气”和“航空”（名词）
hotel	旅馆,饭店
Tu vas à la gare	你要去火车站
un avion	一架飞机
C'est un hotel espagnol	这是一家西班牙酒店
passeport	护照
valise	手提箱
il a une valise	他有一个手提箱
tu as un avion	你有飞机吗？
son fils	他、她的儿子
sa fille	他她的女儿
gâteau	蛋糕
tu manges une pizza	你吃一个披萨
bienvenue marie	欢迎你，Marie
bonjour marie enchanté	你好Marie，很高兴认识你
au revoir	再见
