soixante-onze	七十一
j'ai un secrétaire	我有一个秘书
Vous avez un rendez-vous	您有预约吗？
il a une carte de visite	他有一张名片
Quel est votre nom	您姓什么？
rue	街道，马路n.f.;街
soixante	六十
soixante et un	六十一
soixante et une	六十一（阴性）
soixante-dix	七十
vous allez	（您/你们去）
alors	那么，在这种情况下adv.=Then
avoir	有v.t.
ils ont	（他们有）
elles ont	（她们有）
Je suis au Canada	我在加拿大n.m.
Merci à vous	谢谢您
Notre-Dame	圣母院n.f.inv(没有性数变化)
Notre-Dame de Paris	巴黎圣母院
Notre-Dame de Marseille	马赛圣母院
Bonne soirée	晚安;“晚上愉快”，可用于在晚上向他人表达祝福。
Bonne route	祝您旅途愉快
Bonne semaine	祝你一周愉快[s(ə)mεn]
Les Champs-Élysées	香榭丽舍大街
La Tour Eiffel	埃菲尔铁塔
Le Louvre	卢浮宫
Vous parlez quelle langue	您讲哪种语言
